./dataset/0.csv,0,10000
9999,9999
9998,9998
9997,9997
9996,9996
9995,9995
9994,9994
9993,9993
9992,9992
9991,9991
9990,9990
9989,9989
9988,9988
9987,9987
9986,9986
9985,9985
9984,9984
9983,9983
9982,9982
9981,9981
9980,9980
9979,9979
9978,9978
9977,9977
9976,9976
9975,9975
9974,9974
9973,9973
9972,9972
9971,9971
9970,9970
9969,9969
9968,9968
9967,9967
9966,9966
9965,9965
9964,9964
9963,9963
9962,9962
9961,9961
9960,9960
9959,9959
9958,9958
9957,9957
9956,9956
9955,9955
9954,9954
9953,9953
9952,9952
9951,9951
9950,9950
9949,9949
9948,9948
9947,9947
9946,9946
9945,9945
9944,9944
9943,9943
9942,9942
9941,9941
9940,9940
9939,9939
9938,9938
9937,9937
9936,9936
9935,9935
9934,9934
9933,9933
9932,9932
9931,9931
9930,9930
9929,9929
9928,9928
9927,9927
9926,9926
9925,9925
9924,9924
9923,9923
9922,9922
9921,9921
9920,9920
9919,9919
9918,9918
9917,9917
9916,9916
9915,9915
9914,9914
9913,9913
9912,9912
9911,9911
9910,9910
9909,9909
9908,9908
9907,9907
9906,9906
9905,9905
9904,9904
9903,9903
9902,9902
9901,9901
9900,9900
9899,9899
9898,9898
9897,9897
9896,9896
9895,9895
9894,9894
9893,9893
9892,9892
9891,9891
9890,9890
9889,9889
9888,9888
9887,9887
9886,9886
9885,9885
9884,9884
9883,9883
9882,9882
9881,9881
9880,9880
9879,9879
9878,9878
9877,9877
9876,9876
9875,9875
9874,9874
9873,9873
9872,9872
9871,9871
9870,9870
9869,9869
9868,9868
9867,9867
9866,9866
9865,9865
9864,9864
9863,9863
9862,9862
9861,9861
9860,9860
9859,9859
9858,9858
9857,9857
9856,9856
9855,9855
9854,9854
9853,9853
9852,9852
9851,9851
9850,9850
9849,9849
9848,9848
9847,9847
9846,9846
9845,9845
9844,9844
9843,9843
9842,9842
9841,9841
9840,9840
9839,9839
9838,9838
9837,9837
9836,9836
9835,9835
9834,9834
9833,9833
9832,9832
9831,9831
9830,9830
9829,9829
9828,9828
9827,9827
9826,9826
9825,9825
9824,9824
9823,9823
9822,9822
9821,9821
9820,9820
9819,9819
9818,9818
9817,9817
9816,9816
9815,9815
9814,9814
9813,9813
9812,9812
9811,9811
9810,9810
9809,9809
9808,9808
9807,9807
9806,9806
9805,9805
9804,9804
9803,9803
9802,9802
9801,9801
9800,9800
9799,9799
9798,9798
9797,9797
9796,9796
9795,9795
9794,9794
9793,9793
9792,9792
9791,9791
9790,9790
9789,9789
9788,9788
9787,9787
9786,9786
9785,9785
9784,9784
9783,9783
9782,9782
9781,9781
9780,9780
9779,9779
9778,9778
9777,9777
9776,9776
9775,9775
9774,9774
9773,9773
9772,9772
9771,9771
9770,9770
9769,9769
9768,9768
9767,9767
9766,9766
9765,9765
9764,9764
9763,9763
9762,9762
9761,9761
9760,9760
9759,9759
9758,9758
9757,9757
9756,9756
9755,9755
9754,9754
9753,9753
9752,9752
9751,9751
9750,9750
9749,9749
9748,9748
9747,9747
9746,9746
9745,9745
9744,9744
9743,9743
9742,9742
9741,9741
9740,9740
9739,9739
9738,9738
9737,9737
9736,9736
9735,9735
9734,9734
9733,9733
9732,9732
9731,9731
9730,9730
