79.csv,78.csv,1
78.csv,77.csv,0.333333
71.csv,66.csv,0.701728
66.csv,61.csv,0.662222
60.csv,59.csv,0.628571
58.csv,57.csv,0.606495
62.csv,60.csv,0.563889
72.csv,71.csv,0.548277
61.csv,60.csv,0.503571
73.csv,61.csv,0.463182
72.csv,58.csv,0.235697
53.csv,51.csv,0.890281
54.csv,53.csv,0.689538
50.csv,49.csv,0.890721
47.csv,43.csv,0.888468
49.csv,48.csv,0.880273
44.csv,43.csv,0.771672
46.csv,44.csv,0.750243
48.csv,46.csv,0.749075
55.csv,52.csv,0.722966
41.csv,40.csv,0.578231
52.csv,50.csv,0.545594
42.csv,41.csv,0.480516
43.csv,42.csv,0.361699
35.csv,30.csv,0.222671
69.csv,67.csv,0.780952
70.csv,69.csv,0.5
68.csv,67.csv,0.204762
26.csv,25.csv,0.611728
14.csv,13.csv,0.85926
36.csv,34.csv,0.777555
34.csv,29.csv,0.75743
29.csv,27.csv,0.699203
27.csv,24.csv,0.504419
31.csv,28.csv,0.5
33.csv,32.csv,0.409091
32.csv,31.csv,0.333333
37.csv,36.csv,0.0683312
34.csv,33.csv,0.0504916
75.csv,74.csv,0.0938862
11.csv,10.csv,0.990032
8.csv,10.csv,0.972533
16.csv,12.csv,0.952529
12.csv,10.csv,0.871498
17.csv,16.csv,0.811152
20.csv,19.csv,0.568254
19.csv,18.csv,0.525
22.csv,20.csv,0.490993
23.csv,20.csv,0.433137
23.csv,16.csv,0.174703
21.csv,19.csv,0.174167
3.csv,2.csv,0.983542
6.csv,2.csv,0.972282
2.csv,1.csv,0.97082
4.csv,2.csv,0.969737
7.csv,3.csv,0.966629
1.csv,0.csv,0.956249
8.csv,7.csv,0.948391
9.csv,4.csv,0.943675
5.csv,4.csv,0.935942
51.csv,48.csv,0.931788
56.csv,55.csv,0.923919
24.csv,23.csv,0.909091
38.csv,37.csv,0.909091
13.csv,12.csv,0.883989
15.csv,12.csv,0.882735
65.csv,64.csv,0.880815
30.csv,27.csv,0.878111
64.csv,63.csv,0.791201
74.csv,73.csv,0.777172
76.csv,70.csv,0.763636
77.csv,76.csv,0.717391
45.csv,43.csv,0.67073
57.csv,55.csv,0.64135
39.csv,38.csv,0.633333
25.csv,24.csv,0.594252
63.csv,62.csv,0.530222
54.csv,10.csv,0.53
67.csv,66.csv,0.44709
