file_name, local_cid, pk, global_cid
./dataset/0.csv,0,null_0,0
./dataset/1.csv,0,null_0,0
./dataset/10.csv,0,null_0,0
./dataset/11.csv,0,null_0,0
./dataset/12.csv,0,null_0,0
./dataset/13.csv,0,null_0,0
./dataset/14.csv,0,null_0,0
./dataset/15.csv,0,null_0,0
./dataset/16.csv,0,null_0,0
./dataset/17.csv,0,null_0,0
./dataset/18.csv,0,null_0,0
./dataset/19.csv,0,null_0,0
./dataset/2.csv,0,null_0,0
./dataset/20.csv,0,null_0,0
./dataset/21.csv,0,null_0,0
./dataset/22.csv,0,null_0,0
./dataset/23.csv,0,null_0,0
./dataset/24.csv,0,null_0,0
./dataset/25.csv,0,null_0,0
./dataset/26.csv,0,null_0,0
./dataset/27.csv,0,null_0,0
./dataset/28.csv,0,null_0,0
./dataset/29.csv,0,null_0,0
./dataset/3.csv,0,null_0,0
./dataset/30.csv,0,null_0,0
./dataset/31.csv,0,null_0,0
./dataset/32.csv,0,null_0,0
./dataset/33.csv,0,null_0,0
./dataset/34.csv,0,null_0,0
./dataset/35.csv,0,null_0,0
./dataset/36.csv,0,null_0,0
./dataset/37.csv,0,null_0,0
./dataset/38.csv,0,null_0,0
./dataset/39.csv,0,null_0,0
./dataset/4.csv,0,null_0,0
./dataset/40.csv,0,null_0,0
./dataset/41.csv,0,null_0,0
./dataset/42.csv,0,null_0,0
./dataset/43.csv,0,null_0,0
./dataset/44.csv,0,null_0,0
./dataset/45.csv,0,null_0,0
./dataset/46.csv,0,null_0,0
./dataset/47.csv,0,null_0,0
./dataset/48.csv,0,null_0,0
./dataset/49.csv,0,null_0,0
./dataset/5.csv,0,null_0,0
./dataset/50.csv,0,null_0,0
./dataset/51.csv,0,null_0,0
./dataset/52.csv,0,null_0,0
./dataset/53.csv,0,null_0,0
./dataset/54.csv,0,null_0,0
./dataset/55.csv,0,null_0,0
./dataset/56.csv,0,null_0,0
./dataset/57.csv,0,null_0,0
./dataset/58.csv,0,null_0,0
./dataset/59.csv,0,null_0,0
./dataset/6.csv,0,null_0,0
./dataset/60.csv,0,null_0,0
./dataset/61.csv,0,null_0,0
./dataset/62.csv,0,null_0,0
./dataset/63.csv,0,null_0,0
./dataset/64.csv,0,null_0,0
./dataset/65.csv,0,null_0,0
./dataset/66.csv,0,null_0,0
./dataset/67.csv,0,null_0,0
./dataset/68.csv,0,null_0,0
./dataset/69.csv,0,null_0,0
./dataset/7.csv,0,null_0,0
./dataset/70.csv,0,null_0,0
./dataset/71.csv,0,null_0,0
./dataset/72.csv,0,null_0,0
./dataset/73.csv,0,null_0,0
./dataset/74.csv,0,null_0,0
./dataset/75.csv,0,null_0,0
./dataset/76.csv,0,null_0,0
./dataset/77.csv,0,null_0,0
./dataset/78.csv,0,null_0,0
./dataset/79.csv,0,null_0,0
./dataset/8.csv,0,null_0,0
./dataset/9.csv,0,null_0,0
