,0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,11_assign,16_assign
13179,67,18,87,31,45,32,92,23,59,6,0,99,77,87,21,78,29,86,16,16,10
13184,41,48,84,59,47,63,24,35,24,78,30,98,86,65,22,83,48,94,87,30,55
13212,30,82,35,47,35,71,52,77,29,94,3,97,67,8,42,78,98,77,57,20,25
13186,71,46,73,18,45,14,84,58,22,19,1,93,37,31,30,59,68,66,37,17,20
13211,84,79,56,90,95,62,67,69,87,29,41,92,97,60,56,26,60,45,68,94,7
13151,57,92,63,85,58,26,16,74,86,82,59,92,15,67,72,20,55,65,37,205379,8000
13154,69,69,83,60,81,27,5,26,59,48,15,90,82,63,94,65,49,73,25,3375,274625
13218,69,68,54,4,85,48,52,40,54,32,74,90,35,64,21,43,0,18,14,97,72
13148,38,10,28,42,71,61,4,43,28,98,57,87,45,30,94,83,99,30,86,185193,571787
13213,51,17,25,13,42,1,88,56,94,72,88,87,13,5,5,42,86,75,32,16,84
13133,90,51,7,7,58,59,4,19,38,9,2,86,93,3,83,90,13,7,13,8,729000
13181,68,64,25,81,96,11,5,72,45,48,95,84,42,84,46,80,81,66,69,73,10
13191,49,12,5,87,62,1,85,75,49,88,6,82,88,23,61,41,75,92,15,34,34
12336,54,2,39,84,58,38,32,0,45,48,19,82,85,74,76,61,57,56,78,6859,226981
13190,87,0,34,85,15,98,61,51,11,5,21,79,73,13,99,35,55,68,87,84,98
13209,73,68,72,67,93,96,64,21,83,46,78,79,2,65,3,73,30,81,1,25,31
13192,98,64,99,11,59,92,9,27,33,2,89,77,77,8,0,15,78,18,98,52,47
13149,82,88,85,38,83,15,70,62,49,46,30,76,9,81,51,80,41,77,81,27000,512000
13135,24,7,92,73,74,49,68,88,62,1,16,76,63,9,90,62,14,89,50,4096,238328
13136,96,29,8,59,86,83,33,8,75,6,46,74,54,66,16,50,52,23,16,97336,125000
13173,57,92,89,70,12,29,40,89,75,7,93,71,9,24,39,5,32,29,27,13,40
12337,46,17,31,68,72,98,68,1,53,69,72,68,56,73,40,61,15,89,59,373248,226981
12339,81,33,17,81,58,68,11,58,80,59,30,63,51,48,70,93,55,88,77,27000,804357
13215,28,38,86,53,73,68,28,70,73,85,17,61,84,59,80,53,44,76,99,19,87
13205,54,76,63,10,47,78,33,32,40,38,62,60,60,83,41,71,7,69,85,67,81
13207,55,92,51,61,75,41,62,20,53,3,62,59,66,61,89,91,68,71,71,52,3
13214,8,60,37,25,43,6,76,34,99,27,52,58,58,21,14,10,96,12,31,98,57
13146,3,36,8,2,15,94,21,40,42,89,8,58,10,38,15,87,66,80,47,512,658503
13202,19,54,56,49,29,53,58,17,1,44,44,57,67,15,17,17,32,16,97,75,38
13172,25,74,50,25,76,35,83,3,47,52,88,56,41,76,41,95,24,38,88,92,8
13177,9,53,26,38,78,53,19,3,80,58,42,54,76,66,26,55,99,81,56,92,24
13152,22,41,36,99,94,49,87,79,97,55,69,53,95,9,43,31,46,3,96,328509,29791
13188,13,48,51,67,97,94,35,45,68,14,20,53,1,64,3,54,38,88,50,83,25
13219,50,64,36,37,91,53,23,15,69,86,67,52,69,65,36,60,29,45,66,74,33
13193,16,29,81,66,65,57,92,96,62,44,20,50,16,25,69,76,76,94,70,69,87
13182,1,51,97,76,31,24,33,60,25,51,35,49,25,70,74,7,10,5,42,68,0
13171,91,38,25,2,89,45,70,24,73,77,17,48,15,84,31,7,28,94,64,87,34
13175,51,29,35,91,63,57,81,49,12,9,66,42,18,20,70,9,0,4,37,20,81
12345,33,67,25,49,54,19,27,53,18,75,14,41,74,19,91,97,26,49,69,2744,912673
13180,52,24,68,19,89,71,72,30,24,68,19,39,14,59,4,61,86,49,93,30,87
13147,28,51,6,86,40,60,48,45,90,68,50,36,0,5,52,31,42,25,89,125000,29791
13204,69,92,46,72,73,36,68,52,42,13,70,28,44,82,72,86,90,17,17,31,23
13155,56,67,71,30,26,17,56,59,33,51,65,28,67,60,67,53,46,51,27,274625,148877
13208,27,34,14,43,19,34,94,18,65,37,50,25,20,60,69,89,49,74,16,93,87
13206,55,17,88,40,92,57,38,36,80,57,51,25,83,17,17,88,24,85,73,99,66
13185,86,38,59,95,74,63,2,96,73,56,22,22,37,92,21,9,60,86,20,46,27
13178,50,94,77,73,28,19,90,4,20,86,28,21,97,91,47,17,51,41,58,57,82
