,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10771,0,64,8,67,39,9,40,55,28,32,75,90,56,23,55,0,71,94,66,30
10211,58,54,87,80,74,50,16,99,76,38,30,98,9,53,93,0,52,32,93,16
5489,91,56,76,83,31,99,3,26,65,44,26,12,51,62,69,0,17,10,2,55
10762,41,41,38,94,6,53,27,72,12,9,6,2,62,76,48,0,43,86,67,9
11189,43,83,48,26,43,40,40,68,82,4,56,34,92,93,33,0,21,58,27,89
5448,2,28,69,13,42,84,7,5,55,17,83,65,18,20,69,0,96,16,54,1
4802,65,93,63,88,42,67,54,95,35,21,38,53,64,86,66,0,19,4,36,8
10984,72,26,82,57,6,30,97,86,70,79,27,26,84,93,21,0,92,15,33,0
11088,9,40,15,3,72,13,64,98,28,60,1,18,41,48,92,1,63,31,82,40
11275,70,8,3,87,45,36,53,56,22,10,69,21,5,5,17,1,52,73,74,54
10919,43,62,46,9,21,96,74,53,33,84,35,75,48,84,10,1,64,65,25,56
10297,17,65,8,11,3,13,50,13,6,74,14,96,5,47,23,1,53,59,29,9
10813,33,90,54,86,26,68,3,70,76,99,23,97,91,20,34,1,65,8,68,65
5016,27,21,97,22,68,70,92,21,89,32,22,66,47,92,86,1,48,44,29,71
4840,44,23,45,74,21,24,18,88,21,61,31,66,1,45,77,1,84,44,37,90
11008,93,88,62,42,60,12,52,28,38,98,2,64,60,78,85,1,45,36,12,77
10299,26,11,98,87,2,96,36,80,79,25,39,49,38,82,45,1,97,59,25,77
4743,16,34,47,70,4,69,53,90,16,51,79,75,69,37,85,1,16,37,52,31
10146,73,28,63,36,62,21,34,74,10,15,17,43,98,54,82,1,10,41,10,93
5297,82,99,9,67,4,24,24,42,88,73,77,24,81,73,12,1,84,2,65,28
11107,15,39,76,54,7,67,45,20,79,83,69,27,95,14,24,1,11,31,9,64
5543,66,99,87,42,62,99,38,91,4,57,86,90,61,77,32,1,47,17,49,34
10800,66,70,63,5,71,21,42,39,74,71,22,47,6,95,5,1,49,88,87,52
10935,53,44,89,42,23,85,16,81,81,89,7,18,83,66,73,1,88,29,35,63
11048,75,72,69,83,52,1,7,22,71,49,71,21,51,35,70,1,3,88,69,86
4877,30,45,59,85,21,37,86,3,77,92,3,33,40,42,8,2,47,24,17,24
10827,22,86,19,24,37,44,15,7,15,4,51,77,9,48,83,2,44,32,99,93
