,0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,11_assign,16_assign,19_assign
13184,41,48,84,59,47,63,24,35,24,78,30,98,86,65,22,83,48,94,87,30,55,658503
13185,86,38,59,95,74,63,2,96,73,56,22,22,37,92,21,9,60,86,20,46,27,8000
13186,71,46,73,18,45,14,84,58,22,19,1,93,37,31,30,59,68,66,37,17,20,50653
13187,20,89,77,21,12,17,5,72,43,18,24,7,24,43,92,61,49,71,78,59,12,474552
13188,13,48,51,67,97,94,35,45,68,14,20,53,1,64,3,54,38,88,50,83,25,125000
13189,40,1,68,41,90,71,55,98,87,86,96,1,84,12,1,81,62,32,42,75,28,74088
13190,87,0,34,85,15,98,61,51,11,5,21,79,73,13,99,35,55,68,87,84,98,658503
13191,49,12,5,87,62,1,85,75,49,88,6,82,88,23,61,41,75,92,15,34,34,3375
13234,50,77,60,7,68,37,36,15,15,38,20,82,40,30,43,1,85,63,15,60,75,47
13235,90,48,37,48,95,74,34,29,1,91,32,33,81,69,76,97,70,33,8,51,15,69
13236,47,74,82,20,43,83,33,83,47,69,93,58,2,83,64,76,91,63,83,82,1,0
13237,65,4,20,84,88,40,24,10,98,87,54,80,54,92,18,41,15,82,26,6,70,26
13238,69,77,1,48,34,9,90,19,47,23,82,85,0,14,33,81,72,43,1,37,4,78
