,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4731,65,49,53,77,85,95,92,90,20,98,12,50,53,65,86,96,78,91,64,10
4732,12,33,9,70,76,28,78,16,15,3,64,2,59,20,69,68,79,92,67,10
4733,78,97,79,57,76,48,42,70,43,61,4,1,22,82,83,60,53,85,81,10
4734,36,30,64,75,60,76,75,8,31,89,96,11,95,81,46,62,50,91,90,48
4735,54,84,70,70,88,68,90,46,19,35,69,97,67,22,15,76,21,73,33,14
4736,89,1,20,11,16,54,82,15,67,91,71,67,97,78,64,74,55,45,85,67
4737,62,22,0,18,75,33,56,94,89,18,47,55,1,88,26,41,41,67,74,57
4738,49,98,19,31,70,12,47,61,36,39,24,76,75,43,88,75,40,27,22,74
4739,67,51,24,81,54,15,2,70,53,85,72,82,50,24,58,49,63,89,53,26
4740,79,14,44,98,16,40,14,76,62,69,23,95,37,30,28,52,35,95,0,30
4741,45,12,23,7,6,88,30,37,60,70,96,22,40,81,88,75,72,91,50,89
4742,17,39,14,99,56,45,19,60,60,57,38,68,77,35,52,43,33,77,68,7
4743,16,34,47,70,4,69,53,90,16,51,79,75,69,37,85,1,16,37,52,31
4744,14,89,86,90,45,93,16,59,72,59,33,84,11,19,92,18,75,44,10,22
4745,31,53,23,15,76,94,49,13,39,31,56,57,21,67,24,46,32,62,53,0
4746,52,4,33,58,7,10,90,96,19,40,54,41,60,61,1,35,12,98,48,32
4747,34,59,88,24,35,40,47,7,36,38,11,1,82,15,31,84,45,90,83,93
4748,15,32,15,23,29,34,9,66,46,79,16,70,84,31,85,36,7,60,73,33
4749,66,21,82,49,21,88,56,8,67,53,92,88,71,42,22,60,85,64,41,23
4750,80,49,63,56,14,9,84,4,20,49,89,14,15,85,12,82,11,1,29,10
4751,58,24,63,90,45,28,68,19,91,69,30,42,58,18,41,13,45,12,63,51
4752,66,52,19,12,38,75,64,25,50,11,50,77,19,95,64,6,5,74,72,95
4753,29,26,79,37,44,18,72,49,74,50,31,9,19,43,48,66,71,87,2,68
4754,87,31,44,94,45,14,78,8,70,71,16,86,91,33,49,12,24,53,25,1
4755,88,87,12,99,76,13,17,61,79,4,82,26,24,55,11,56,45,52,94,22
4756,77,93,10,68,84,28,75,79,99,69,18,94,81,79,95,53,96,98,85,50
4757,13,33,33,97,16,43,5,53,70,80,52,52,26,42,52,5,10,70,54,8
4758,83,20,46,54,88,35,20,73,65,61,15,41,33,82,1,36,39,11,24,33
4759,46,76,58,63,40,4,69,89,79,84,84,60,10,76,53,1,38,84,44,40
4760,34,43,8,38,75,47,53,6,60,3,42,87,82,38,97,90,3,97,92,91
4761,59,88,94,95,62,45,2,67,57,25,6,29,29,74,81,81,72,5,21,34
4762,98,54,29,0,27,46,84,37,52,83,51,43,20,34,18,67,37,6,67,75
4763,78,24,37,67,64,89,88,8,7,49,56,99,98,75,56,19,70,74,45,0
4764,58,90,83,33,30,11,55,69,97,79,8,14,14,35,33,30,36,69,89,8
4765,65,39,70,94,19,64,96,73,32,22,34,70,2,91,42,80,97,16,87,34
4766,83,74,37,7,41,5,36,24,74,86,7,31,83,76,10,82,13,76,51,66
4767,41,19,47,94,40,92,77,18,34,3,48,92,78,14,47,17,42,67,55,50
4768,61,5,69,0,56,69,12,57,37,63,98,53,61,93,56,48,70,80,5,48
4769,69,89,91,15,94,30,73,39,53,46,36,59,83,76,17,78,15,57,66,13
4770,13,9,60,7,53,5,56,69,84,91,44,33,21,23,2,69,11,60,58,62
4771,94,76,29,88,94,38,35,78,79,67,46,14,95,15,9,73,84,97,87,70
4772,22,78,28,20,98,93,8,0,84,14,19,28,67,83,19,14,63,15,38,66
4773,78,30,8,34,67,15,25,2,3,59,70,63,61,22,37,31,13,35,31,45
4774,55,83,45,5,66,50,12,20,75,46,38,62,58,41,82,18,64,66,87,82
4775,44,85,65,98,40,12,32,2,0,53,0,54,89,89,52,75,41,76,62,2
4776,13,57,23,79,60,80,36,68,33,56,79,94,65,35,30,92,38,50,41,24
4777,7,58,86,31,47,91,62,22,87,56,4,55,77,42,60,67,82,93,78,60
4778,87,58,40,25,65,49,43,42,39,76,43,43,67,46,41,11,0,90,27,69
4779,77,47,91,73,91,77,22,18,82,69,21,69,30,2,46,74,12,66,66,59
4780,60,74,10,52,66,66,7,84,0,24,61,53,91,53,17,63,40,9,39,14
4781,59,26,72,20,81,66,14,61,94,33,14,85,27,16,96,13,23,90,39,14
4782,69,61,54,75,58,70,18,90,42,4,93,83,22,44,2,68,67,30,41,37
4783,24,9,60,88,11,39,18,79,46,47,57,75,86,66,86,25,47,33,74,95
4784,57,32,27,67,49,97,17,5,33,6,49,79,25,14,70,63,55,52,31,76
