,0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,19,19_assign
54450,0,4,43,75,77,15,7,26,27,39,19,23,42,70,90,43,79507
335612,96,72,39,62,79,21,13,97,48,35,59,72,49,40,4,11,92
333339,3,18,46,35,95,83,10,6,53,44,2,1,18,7,90,99,10
332978,89,53,83,32,52,42,72,78,18,86,14,2,92,55,8,39,60
336388,53,81,92,95,40,50,32,59,67,89,82,97,99,62,75,41,52
3026,28,49,83,44,47,5,68,25,46,36,70,70,9,17,84,83,571787
332462,60,15,9,34,19,77,13,29,2,62,11,3,48,16,34,98,30
54092,63,26,69,25,54,55,64,40,39,55,54,20,63,34,62,29,24389
8211,66,81,31,75,5,63,73,11,88,89,7,69,96,55,66,48,110592
51191,34,15,62,18,68,63,64,36,50,63,4,60,41,50,62,78,474552
53825,23,23,4,42,6,28,23,27,91,3,39,1,20,26,71,49,117649
54183,3,29,89,89,47,36,72,49,70,17,94,1,3,45,8,63,250047
54665,34,45,10,58,71,48,19,2,6,11,18,61,63,26,30,22,10648
335936,29,0,58,14,10,54,26,46,93,59,15,41,90,61,16,78,9
333377,58,94,59,1,96,65,30,55,80,38,97,43,19,42,16,2,2
48721,68,89,52,85,63,71,81,5,24,55,14,60,56,60,50,86,636056
50521,6,51,65,67,16,89,27,4,31,55,76,70,59,56,32,93,804357
334826,49,95,32,47,46,77,24,2,82,76,12,53,48,69,79,50,34
332335,41,8,4,98,71,68,66,18,63,75,13,91,32,25,31,79,82
48521,46,23,1,95,67,3,18,29,12,93,84,25,25,6,14,60,216000
333114,84,79,78,55,55,58,56,0,86,91,47,20,67,62,14,1,41
334325,85,50,18,24,1,30,40,66,51,53,55,19,37,56,71,60,15
320147,45,0,23,59,86,75,54,36,53,10,25,44,58,20,93,58,30
336255,12,50,94,27,85,40,87,82,96,99,75,66,86,54,60,82,68
42473,95,17,33,77,98,96,25,12,35,28,77,6,42,52,74,70,343000
333766,83,84,26,65,53,23,60,34,3,86,46,84,88,66,13,61,62
7512,87,11,83,34,34,47,14,4,88,98,58,80,73,17,96,50,125000
332938,28,49,69,50,27,82,73,97,33,43,85,77,58,8,12,99,93
333342,11,39,56,40,40,10,62,2,78,55,41,90,3,25,66,10,25
45646,18,4,78,82,19,52,2,39,32,99,10,85,65,38,57,14,2744
7369,56,0,4,15,11,10,89,0,58,85,34,67,1,55,73,9,729
333055,89,26,13,29,29,10,20,7,42,16,7,29,52,62,75,6,43
333075,82,85,81,67,36,18,82,44,51,90,15,54,80,41,15,91,43
335550,48,55,6,50,33,3,95,51,61,25,21,20,69,27,62,86,5
52048,59,69,35,51,52,83,62,27,51,43,74,66,18,15,21,43,79507
46757,46,56,7,24,10,26,30,1,20,55,94,89,25,31,21,15,3375
9957,36,6,80,63,87,6,75,12,55,19,29,33,77,54,22,44,85184
333027,50,95,37,75,30,17,60,17,10,70,69,45,49,42,22,77,65
334306,71,83,0,99,86,5,24,13,44,48,20,34,72,68,48,11,29
334033,8,3,63,13,60,81,27,22,54,93,46,16,11,14,39,98,32
42774,60,40,28,24,67,1,26,45,44,19,49,2,72,38,40,70,343000
335984,59,48,89,8,92,91,76,91,65,50,68,61,64,54,12,8,22
332493,53,46,97,73,80,82,81,55,40,88,3,68,74,42,16,35,63
44186,90,50,66,58,22,48,12,14,13,10,53,78,7,44,4,76,438976
5443,4,37,16,14,29,85,89,54,10,30,16,49,64,40,3,39,59319
52257,15,63,53,86,33,23,9,39,53,58,64,21,19,20,93,42,74088
336036,37,21,1,79,9,0,95,84,3,46,2,15,54,32,63,1,79
648,29,14,1,89,40,81,2,16,69,54,20,28,34,12,21,35,42875
5142,17,50,15,55,31,74,97,51,80,80,54,81,56,53,10,75,421875
335125,40,72,70,84,88,89,61,26,64,65,19,22,63,22,73,70,90
333325,5,94,37,14,47,22,57,27,82,81,26,26,72,0,1,97,9
336789,21,93,87,65,39,25,6,87,70,86,79,60,91,31,63,4,87
336040,46,7,65,48,13,93,49,17,99,94,54,2,76,6,55,37,26
49475,60,68,53,33,13,95,68,25,1,57,65,52,5,1,65,2,8
48333,84,51,67,33,24,41,89,35,74,23,4,62,30,22,58,66,287496
1863,44,66,31,83,65,57,36,15,46,64,82,69,44,61,97,85,614125
333622,99,57,42,99,16,27,52,65,18,13,59,99,9,36,24,28,44
53655,37,23,60,27,50,83,77,29,8,76,35,23,55,62,51,85,614125
332971,6,61,88,52,94,23,31,39,83,2,76,87,40,22,74,89,85
336706,84,64,67,84,78,76,13,49,85,90,11,39,87,36,40,9,10
334782,5,63,14,26,27,5,85,25,10,93,4,16,71,0,12,91,70
5574,62,3,78,48,18,5,80,6,49,42,18,32,72,6,48,99,970299
336624,84,76,97,46,7,98,79,2,3,29,91,54,16,19,29,54,21
335056,50,10,8,52,67,4,73,56,24,66,71,33,72,7,58,38,34
332472,38,36,85,64,83,8,64,14,18,61,35,71,35,26,47,78,90
53774,91,7,43,4,55,80,2,5,81,61,24,26,19,42,83,57,185193
49701,10,11,41,48,60,13,5,46,23,89,9,93,64,52,47,62,238328
50557,84,48,51,57,92,87,68,4,45,94,91,4,71,41,74,9,729
