,0,1,2,3,5,6,8
7102,43.0,10.0,32.0,22.0,32.0,47.0,70.0
7312,43.0,10.0,32.0,22.0,26.0,47.0,70.0
2882,43.0,10.0,32.0,22.0,26.0,47.0,70.0
2897,43.0,10.0,32.0,22.0,26.0,43.0,63.0
3984,7.0,10.0,32.0,22.0,26.0,46.0,63.0
9542,9.0,10.0,32.0,35.0,26.0,46.0,63.0
9553,9.0,10.0,7.0,35.0,26.0,46.0,58.0
2167,9.0,10.0,7.0,35.0,26.0,46.0,58.0
2489,9.0,9.0,7.0,35.0,23.0,46.0,57.0
2636,9.0,9.0,7.0,35.0,23.0,46.0,57.0
4054,9.0,9.0,7.0,35.0,23.0,46.0,57.0
4065,9.0,26.0,7.0,35.0,23.0,46.0,54.0
8797,9.0,26.0,7.0,35.0,23.0,46.0,54.0
6903,4.0,26.0,14.0,27.0,23.0,46.0,54.0
6117,5.0,26.0,14.0,27.0,23.0,46.0,54.0
7473,5.0,26.0,14.0,27.0,23.0,57.0,54.0
7703,5.0,26.0,14.0,27.0,23.0,57.0,54.0
6018,5.0,26.0,14.0,27.0,23.0,57.0,54.0
6476,9.0,20.0,14.0,27.0,13.0,57.0,53.0
2651,9.0,20.0,14.0,46.0,19.0,57.0,52.0
2587,9.0,19.0,18.0,46.0,27.0,57.0,52.0
2839,9.0,19.0,18.0,46.0,27.0,57.0,51.0
7700,9.0,19.0,26.0,46.0,27.0,57.0,51.0
5980,9.0,19.0,26.0,46.0,27.0,46.0,50.0
3726,22.0,19.0,26.0,46.0,27.0,46.0,50.0
3846,31.0,19.0,26.0,46.0,27.0,45.0,49.0
7652,31.0,19.0,37.0,14.0,27.0,45.0,49.0
3,31.0,15.0,37.0,14.0,19.0,45.0,49.0
28,31.0,15.0,37.0,14.0,19.0,45.0,48.0
70,31.0,15.0,37.0,14.0,19.0,45.0,48.0
215,31.0,15.0,37.0,14.0,19.0,45.0,48.0
4046,31.0,17.0,37.0,14.0,19.0,45.0,48.0
4049,16.0,17.0,37.0,7.0,19.0,31.0,46.0
7647,16.0,17.0,35.0,7.0,18.0,31.0,46.0
7664,16.0,17.0,35.0,7.0,18.0,31.0,46.0
4618,16.0,17.0,35.0,14.0,18.0,31.0,46.0
5501,15.0,17.0,35.0,18.0,18.0,31.0,46.0
5683,15.0,17.0,35.0,18.0,14.0,24.0,45.0
5732,15.0,17.0,35.0,34.0,14.0,24.0,45.0
5788,10.0,8.0,35.0,34.0,14.0,24.0,45.0
1277,12.0,16.0,26.0,34.0,14.0,42.0,45.0
1418,29.0,16.0,11.0,34.0,14.0,42.0,44.0
1489,29.0,16.0,11.0,34.0,14.0,42.0,44.0
6934,29.0,16.0,11.0,34.0,22.0,49.0,44.0
3777,29.0,16.0,17.0,34.0,22.0,49.0,44.0
3809,29.0,16.0,17.0,19.0,22.0,49.0,44.0
