,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,19,19_assign,9_assign,11_assign
368557,91,60,38,49,36,12,56,49,0,9,15,20,97,29,97,96,0,11,47
368627,19,25,25,8,3,53,32,18,3,5,98,24,88,67,68,40,94,29,23
368623,96,20,23,69,27,45,20,67,6,56,32,28,1,33,15,62,26,12,44
368736,83,40,61,71,3,29,88,90,6,53,23,45,10,26,92,44,71,61,60
368712,30,79,57,32,24,47,11,41,7,27,90,98,92,61,84,84,77,95,17
368541,36,7,5,33,82,3,29,8,8,92,67,71,21,61,67,89,11,39,99
368631,81,11,3,81,30,56,30,69,10,25,51,5,94,9,44,61,4,43,41
368606,93,69,20,75,53,34,5,54,12,66,91,29,83,17,51,16,36,26,98
368537,15,91,20,27,52,81,39,10,12,81,39,37,61,74,90,28,27,48,85
368633,1,78,14,45,35,33,15,23,13,2,72,58,24,36,58,22,27,27,37
368720,71,5,32,64,68,9,43,4,13,69,2,98,57,7,78,86,4,50,68
368707,85,95,9,6,5,42,81,98,14,78,54,69,23,73,20,31,25,3,54
368518,62,80,26,72,16,78,90,41,16,88,57,69,83,90,4,29,94,6,75
368727,83,19,79,80,89,70,90,64,18,98,29,52,37,95,12,35,20,28,3
368597,26,0,99,85,79,2,81,57,19,82,95,50,2,61,91,38,22,70,76
368517,20,30,47,39,5,79,65,33,21,60,70,63,2,27,74,79,44,77,84
368735,89,25,98,38,23,65,85,86,21,23,47,90,42,61,95,14,12,58,12
368741,16,62,72,45,10,90,14,25,21,44,12,75,13,7,35,77,47,94,79
368531,41,55,82,60,48,92,32,39,22,30,73,4,52,88,5,86,66,56,55
368567,98,42,51,19,68,72,1,10,23,98,63,93,73,20,71,77,45,19,88
368629,82,46,80,73,14,72,28,16,23,87,30,68,39,57,79,93,29,38,14
368630,4,19,71,81,99,94,38,6,24,38,72,85,97,24,54,76,29,96,76
368708,51,96,56,41,53,35,32,39,24,55,94,76,61,60,50,59,36,31,26
368723,89,35,62,33,51,10,98,45,24,83,6,19,97,39,84,70,5,84,81
368546,76,28,31,21,97,55,62,55,26,11,36,53,78,68,51,0,90,19,86
368716,12,9,95,98,7,22,54,67,27,84,63,10,69,80,99,53,87,83,52
368624,61,37,5,88,71,35,35,83,28,31,68,98,33,65,93,36,51,96,73
322271,50,33,92,33,74,93,21,89,29,90,65,86,79,18,65,67,41,9261,24389
368625,8,93,0,86,45,86,26,17,31,79,1,32,15,38,74,23,20,66,61
368638,81,51,66,58,12,68,27,21,33,16,87,55,77,38,11,22,33,75,27
368715,78,78,42,51,78,77,96,66,35,90,49,20,52,87,10,86,78,32,8
368738,95,53,53,33,71,66,37,77,36,86,92,30,44,98,90,27,85,27,8
368621,82,82,23,58,49,10,61,62,37,94,20,59,2,33,49,11,75,14,69
368635,3,49,93,74,18,23,40,51,39,83,42,22,33,59,23,17,91,9,27
368726,99,35,57,70,36,98,24,47,39,41,23,83,1,5,62,75,40,58,94
368733,43,9,81,39,71,30,37,13,40,65,51,41,29,0,65,89,80,43,56
368617,29,43,63,85,9,67,2,48,42,92,41,21,43,40,52,49,14,28,78
368728,78,92,15,51,13,67,36,94,42,86,51,86,43,55,78,50,28,46,30
368615,35,77,30,24,90,5,33,99,44,8,56,10,70,76,74,29,2,28,55
368730,4,44,64,93,59,7,26,5,45,75,45,96,58,79,69,50,21,24,50
368718,82,42,14,52,14,18,83,78,47,86,43,17,87,61,77,5,99,38,43
368721,53,30,4,72,75,19,8,45,47,43,87,68,76,41,30,3,54,90,26
368545,25,29,39,44,56,98,28,55,48,58,2,98,80,44,96,68,18,26,28
368729,82,18,57,26,41,51,41,81,48,37,59,31,30,58,95,69,4,10,17
368714,59,44,41,44,62,82,55,87,50,15,24,23,52,53,68,84,20,28,65
368562,36,51,2,47,60,82,28,69,57,25,35,27,77,70,42,66,39,30,79
368565,25,3,40,42,30,62,95,99,58,41,56,44,23,29,9,37,84,5,15
368550,45,0,91,62,75,3,70,50,59,42,54,90,2,50,97,19,69,93,66
368739,64,30,31,99,31,18,1,50,59,2,47,44,12,38,42,94,18,44,34
368632,26,79,48,7,35,95,34,17,60,49,66,62,77,69,95,40,80,3,97
368523,53,85,24,18,56,17,16,70,63,72,2,97,62,45,98,11,99,96,3
368616,16,70,83,59,76,24,2,24,64,65,33,28,20,20,90,19,38,22,55
368711,9,6,0,31,99,24,14,17,64,82,5,33,51,48,0,55,93,43,34
368722,32,6,61,86,21,78,39,63,64,26,49,18,36,76,32,81,18,4,24
368595,81,16,59,26,83,97,82,43,65,46,16,81,48,25,63,16,64,60,87
368603,6,73,72,19,14,80,96,17,65,89,26,68,68,75,27,15,20,90,47
368628,72,94,69,51,48,58,30,59,65,48,53,95,32,46,7,53,17,37,76
368542,26,45,51,52,65,38,24,6,66,93,10,54,13,60,43,83,28,92,82
368731,69,39,50,75,55,21,18,81,66,98,5,89,69,38,29,30,96,38,21
368528,11,63,56,44,39,62,87,65,67,96,4,21,88,34,54,60,13,74,6
368600,25,26,65,48,28,40,80,10,67,23,55,12,67,96,81,72,28,62,20
368717,1,53,85,35,45,31,99,69,67,95,57,19,33,83,75,7,2,4,38
368576,58,99,29,72,11,8,13,52,68,84,98,14,5,9,59,11,8,60,47
368622,72,13,93,84,22,59,62,97,68,71,75,3,1,56,83,18,86,86,6
368612,67,44,89,58,98,81,18,13,71,56,11,29,96,72,54,39,77,31,66
368724,41,54,91,75,79,53,15,89,71,34,48,8,95,61,46,58,29,40,29
368634,34,11,99,43,58,64,28,19,72,72,96,38,78,48,38,18,88,51,70
368713,38,76,73,63,9,42,77,24,73,78,9,73,62,81,99,44,35,86,53
368572,30,93,43,96,14,18,67,93,74,16,73,11,28,79,66,24,97,67,49
368636,5,45,96,37,18,10,47,14,74,54,21,79,66,82,10,54,44,88,48
368737,11,38,22,50,13,44,91,27,74,31,6,14,73,83,46,91,67,58,40
368611,72,99,35,24,88,47,69,43,75,99,12,76,12,55,20,12,55,92,21
368710,77,86,83,9,75,65,35,92,76,97,3,19,9,24,13,37,96,19,34
368620,31,95,52,42,95,33,5,66,77,82,1,83,15,84,63,54,41,85,77
368618,16,56,99,32,85,73,29,40,82,90,62,76,36,58,6,50,9,57,19
368725,26,49,19,3,37,18,8,86,82,54,13,82,13,77,76,95,15,17,81
368610,33,45,37,27,67,58,51,22,83,47,0,77,21,69,76,96,8,88,65
368614,36,4,95,43,15,10,3,92,83,1,52,78,36,55,82,51,56,98,77
368580,36,74,86,52,8,45,43,46,83,83,87,0,92,78,28,6,13,3,95
368732,56,63,98,93,85,63,2,3,83,22,94,90,51,10,52,77,5,56,77
368589,3,57,11,90,14,90,54,42,84,11,55,94,50,42,1,88,25,36,72
368551,2,69,35,78,76,39,78,0,86,22,85,72,67,74,37,86,92,14,79
368619,10,25,33,59,27,29,30,51,86,68,50,71,35,62,64,75,53,84,10
368734,37,82,17,89,39,35,25,6,86,21,79,76,70,26,50,81,23,85,55
368569,55,20,33,70,78,17,62,40,89,69,17,41,45,57,17,16,69,26,35
368637,90,61,78,63,9,72,1,38,89,88,57,59,74,75,80,60,23,55,89
368742,18,60,82,22,96,15,68,81,21,62,83,61,58,32,42,18,93,97,44
368743,28,46,42,53,72,96,1,32,21,85,74,54,28,30,94,12,44,14,55
368744,82,55,84,82,28,99,78,18,19,94,38,62,54,8,4,44,40,70,56
368745,48,75,58,13,18,91,20,50,25,3,31,8,39,0,80,22,17,53,29
