,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10230,34,73,30,16,87,64,29,49,39,56,11,54,53,20,6,43,0,59,75,39
5125,13,47,44,42,3,9,74,9,10,92,14,9,22,19,15,60,0,39,64,17
5348,22,16,33,52,0,97,20,24,32,25,60,64,87,63,2,28,0,10,54,38
10201,63,9,37,67,31,8,24,73,2,88,13,13,97,45,14,40,1,42,16,75
5007,58,33,26,85,45,14,47,71,79,50,58,48,6,60,72,98,1,8,0,89
5047,99,41,9,3,46,56,52,8,85,64,93,70,69,43,63,86,1,8,95,72
5378,55,83,16,12,75,42,92,88,45,36,75,14,10,51,8,14,1,40,41,14
5322,87,0,54,59,33,5,75,92,72,91,7,38,24,25,19,70,2,43,35,4
5139,55,18,97,1,70,55,92,80,98,2,78,33,93,18,10,88,2,43,48,98
4938,14,88,0,66,86,36,30,56,90,28,61,80,5,63,30,47,2,9,98,52
5423,22,77,90,5,56,63,83,29,90,82,44,19,16,15,1,47,2,20,28,80
5156,24,50,28,38,93,88,40,12,72,59,9,23,54,58,73,72,3,19,43,75
5273,34,67,7,85,41,40,12,38,74,7,16,23,1,67,21,66,3,8,77,43
4935,41,40,65,13,39,99,18,17,11,88,87,82,96,21,86,16,3,32,35,57
5167,37,27,10,89,45,76,3,29,38,21,96,40,86,42,2,60,3,0,67,29
5304,98,11,64,28,95,83,61,12,35,20,78,19,76,72,14,96,3,51,16,71
5416,54,82,22,96,72,50,59,23,99,2,86,20,80,28,57,45,3,36,61,23
10215,56,63,44,48,54,79,39,96,31,85,84,48,82,66,85,53,4,17,24,68
10261,63,56,79,33,99,16,78,69,56,57,9,87,12,56,58,32,4,64,73,61
10126,77,34,60,5,78,97,14,68,0,6,75,35,11,5,23,98,4,70,65,50
5287,0,48,13,72,88,69,88,74,66,10,38,28,84,17,58,39,4,39,65,98
10003,50,20,22,28,58,81,47,67,39,69,19,81,6,40,24,57,4,40,9,18
10112,46,87,81,31,95,14,94,60,93,99,8,36,78,27,31,68,4,42,19,63
4948,95,80,21,54,19,51,16,44,51,65,42,25,77,56,22,51,4,48,23,62
10147,59,61,5,11,63,45,65,15,28,64,62,14,43,55,3,3,4,33,32,77
5548,99,81,98,60,76,57,63,3,40,88,47,48,78,47,16,33,4,12,93,34
4861,92,81,90,12,82,27,36,84,61,30,65,77,79,19,57,81,4,39,28,20
10133,93,66,44,11,85,22,58,45,84,63,97,49,74,55,43,76,4,79,10,33
5422,24,46,86,98,22,39,12,30,72,54,33,50,14,78,98,95,5,35,72,39
10034,16,84,32,53,20,7,4,39,40,25,67,54,41,43,98,2,5,6,11,77
4882,2,10,25,70,68,39,28,29,83,90,63,36,20,6,74,67,6,30,30,48
5335,57,29,20,91,75,92,9,15,70,68,73,95,57,50,22,1,6,13,17,47
5542,49,33,22,10,68,68,70,39,36,87,4,74,44,99,67,91,6,39,21,10
10148,39,14,69,66,55,12,41,99,7,69,90,95,1,80,87,41,6,58,76,39
4934,99,94,27,86,22,90,1,23,76,31,43,87,29,99,12,9,6,8,41,13
4805,39,16,91,19,82,89,42,31,52,36,45,94,48,7,78,23,6,8,50,5
5106,64,22,50,26,24,14,12,41,2,12,44,70,7,56,60,10,6,53,80,59
5119,26,86,47,13,86,36,6,40,33,76,10,31,67,56,23,50,6,14,40,90
5307,55,96,41,3,53,58,87,13,2,34,15,49,81,19,73,90,6,53,6,79
5031,93,6,32,90,22,94,15,31,10,61,13,60,87,15,15,70,7,24,38,78
5496,38,50,19,45,17,32,64,15,92,9,38,33,1,64,24,92,7,36,68,82
5214,93,92,2,1,25,51,92,89,46,97,97,39,13,34,80,48,7,8,43,64
4920,94,96,26,59,75,98,14,77,69,94,83,74,22,80,39,48,7,48,10,46
5023,4,71,37,12,0,80,16,60,37,34,22,95,81,54,62,43,7,54,68,16
5444,64,57,71,45,78,16,87,97,11,20,4,91,35,21,62,93,7,39,14,34
5204,17,91,56,84,61,5,7,74,55,10,23,21,81,37,19,61,7,52,58,73
10249,14,5,72,53,56,4,38,34,96,28,21,50,28,83,20,37,7,86,58,83
4807,92,6,61,76,33,66,75,7,14,7,88,92,3,70,80,56,8,21,92,13
4992,49,57,31,78,10,67,39,20,64,84,45,24,19,62,28,49,8,28,61,92
10225,25,80,33,89,82,58,60,69,92,78,80,89,98,30,59,77,8,11,9,27
5467,48,38,53,75,74,52,40,62,13,67,62,91,96,13,34,26,8,42,82,12
10192,71,96,70,34,97,57,64,12,95,51,52,95,85,58,10,54,8,67,58,96
5403,74,97,67,94,18,39,73,80,25,23,19,65,24,56,27,39,8,16,7,9
10233,54,49,66,79,38,98,11,99,41,71,42,24,66,52,28,52,8,58,55,74
10061,32,95,48,74,99,80,33,72,33,66,63,4,75,72,63,61,8,27,88,27
4943,73,15,43,19,99,50,5,86,14,16,79,16,30,3,17,35,8,1,89,70
5393,27,74,78,6,17,96,38,83,91,35,50,32,22,87,87,73,8,18,77,83
4924,89,49,34,39,78,80,12,21,83,61,74,64,63,98,74,6,8,46,38,16
5370,65,38,52,76,21,53,4,7,94,54,21,97,1,7,97,42,9,16,6,9
5009,56,85,91,11,23,93,10,52,96,40,77,24,28,12,16,22,9,8,71,36
5310,56,26,93,30,22,57,35,57,40,79,53,7,84,39,95,9,9,0,89,93
5109,55,68,26,14,12,51,92,61,2,95,83,82,12,67,66,71,9,46,26,43
10055,6,9,29,14,22,86,54,14,16,18,72,47,4,34,18,13,9,36,39,43
10194,20,60,62,68,14,4,54,36,47,69,4,98,3,84,63,54,9,86,42,86
10190,39,59,85,24,28,55,81,7,88,59,66,43,56,79,99,26,9,69,3,4
4940,97,62,94,8,32,3,26,77,90,6,94,85,22,54,86,28,9,6,37,74
5262,31,3,93,10,15,4,90,61,9,97,98,29,34,55,72,79,10,19,60,53
5446,65,3,95,6,39,93,21,95,43,13,9,46,83,13,38,44,10,17,2,14
5466,52,61,34,75,47,68,24,31,0,17,16,61,85,67,94,13,10,32,15,49
10272,18,34,19,81,33,55,52,60,43,54,68,27,12,95,29,47,10,74,3,11
10146,73,28,63,36,62,21,34,74,10,15,17,43,98,54,82,1,10,41,10,93
5461,17,62,60,29,80,84,70,55,1,46,47,34,61,11,71,34,10,4,8,69
5396,67,6,87,85,42,7,92,3,67,12,12,61,33,31,67,37,11,11,53,67
4750,80,49,63,56,14,9,84,4,20,49,89,14,15,85,12,82,11,1,29,10
4798,76,48,36,44,84,45,79,55,65,21,82,64,46,52,96,96,11,54,62,32
4881,27,52,71,71,17,69,64,86,9,84,40,50,18,45,40,22,11,45,30,71
5224,51,44,77,35,35,3,83,49,38,82,65,89,40,86,10,96,11,23,62,68
4803,53,77,97,56,0,84,20,1,24,94,16,99,4,77,34,7,11,15,89,78
10152,31,19,38,33,63,90,81,68,53,93,12,34,50,76,65,33,11,21,35,93
10107,26,57,91,90,33,60,96,40,32,3,60,0,18,49,95,37,11,14,80,57
4926,20,15,73,0,53,1,90,1,17,97,26,78,28,78,71,12,12,39,81,46
10015,72,58,63,50,48,37,85,35,13,14,76,63,67,47,97,31,12,54,93,59
5075,25,24,63,27,47,24,67,97,29,9,14,32,95,16,43,72,12,48,49,62
4820,22,19,76,8,75,54,10,8,34,27,50,12,76,72,19,44,12,37,57,38
5184,8,37,77,10,42,46,86,38,3,7,3,97,79,34,15,38,12,12,71,40
