,0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,19,19_assign
1,32,19,61,6,4,37,99,37,51,49,95,44,66,37,94,37,61,226981
2,9,2,90,35,37,50,85,24,40,94,51,76,66,37,78,58,76,438976
3,89,72,88,94,42,89,31,54,46,37,33,69,66,26,36,43,41,68921
7,58,66,80,86,87,89,54,18,91,61,57,20,38,40,7,59,94,830584
10,6,12,26,20,7,48,78,24,90,1,40,96,71,78,73,0,67,300763
18,5,33,78,7,43,95,14,39,52,75,97,87,18,3,54,32,92,778688
28,37,76,59,6,26,46,36,36,71,32,64,4,95,17,35,96,67,300763
35,25,98,71,90,40,46,42,37,87,23,40,76,33,44,7,83,91,753571
46,28,75,0,22,7,14,87,46,57,81,53,44,24,37,47,38,19,6859
47,78,59,44,31,0,60,3,31,21,75,53,24,72,38,13,68,95,857375
48,29,13,0,91,12,56,94,32,28,24,57,80,65,58,46,44,0,0
49,98,56,45,95,95,80,10,43,57,35,63,52,95,41,91,60,92,778688
82,1,28,81,43,71,70,92,17,39,32,48,61,8,46,2,35,92,778688
93,47,79,33,60,69,91,80,32,31,12,13,1,72,45,40,18,34,39304
100,33,59,46,94,70,5,81,47,55,61,35,94,43,15,29,31,2,8
103,52,88,90,38,50,29,74,56,27,99,79,21,10,55,1,37,55,166375
104,66,21,50,50,84,84,77,21,99,78,30,57,12,20,25,57,21,9261
110,28,1,32,60,46,16,77,24,37,69,60,46,80,54,62,35,38,54872
112,52,92,17,1,15,30,60,37,86,38,61,9,79,31,27,50,82,551368
115,34,70,1,79,6,64,90,19,93,26,88,58,91,9,33,74,69,328509
119,86,92,3,43,0,55,96,25,61,93,97,97,27,13,68,35,69,328509
130,16,27,29,75,60,2,89,52,27,29,5,87,22,66,4,16,21,9261
131,51,5,43,66,93,26,23,19,32,2,35,90,94,54,52,75,85,614125
138,64,44,73,79,82,35,84,22,14,82,12,73,72,58,51,17,79,493039
143,56,18,72,29,73,38,27,26,31,84,24,63,45,39,29,19,75,421875
146,46,92,51,48,49,57,11,40,21,59,7,86,72,83,15,44,59,205379
151,76,18,34,14,38,81,37,18,90,90,96,50,14,42,11,25,4,64
153,40,91,44,92,42,74,72,33,27,59,13,93,42,48,62,25,60,216000
171,62,35,49,32,28,76,40,45,1,17,11,69,37,14,38,79,2,8
174,85,34,25,61,67,2,2,48,67,86,57,3,90,64,13,80,24,13824
177,99,76,75,91,81,75,21,20,50,92,59,12,37,22,29,99,32,32768
180,68,76,5,87,30,95,89,34,17,38,39,74,79,89,58,35,3,27
182,4,21,6,7,63,15,73,48,4,39,34,73,42,33,13,62,30,27000
188,46,80,83,41,63,75,75,54,34,40,79,69,73,3,41,85,62,238328
191,44,46,30,13,86,68,92,31,46,1,28,43,19,59,18,46,3,27
200,4,44,42,85,85,1,72,54,79,42,55,89,11,98,20,56,8,512
208,1,54,30,95,9,47,2,53,1,22,59,47,33,94,32,39,9,729
212,56,91,45,12,13,88,84,57,96,92,65,10,66,46,84,33,45,91125
215,64,91,49,59,96,6,10,22,78,44,28,60,34,58,51,8,29,24389
231,44,84,14,59,11,19,0,28,46,11,88,71,94,82,85,74,33,35937
239,36,61,35,92,28,83,53,46,61,67,65,27,52,31,37,89,22,10648
243,79,11,84,53,85,95,83,31,3,64,76,80,35,85,31,84,52,140608
245,70,66,8,66,67,7,10,41,66,90,43,47,16,88,86,64,70,343000
