,0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,19,19_assign
53447,84,88,0,87,89,16,47,0,25,56,24,32,66,32,17,36,26,17576
44898,96,58,0,36,96,8,54,0,80,12,18,14,64,29,95,47,42,74088
41623,39,30,1,85,39,8,21,0,98,37,99,87,25,89,70,81,19,6859
8560,95,61,1,96,41,17,73,0,99,99,40,23,43,95,11,24,70,343000
42012,8,6,2,46,49,78,81,0,99,69,95,5,10,93,67,1,86,636056
43982,57,42,2,48,3,32,31,0,25,62,41,72,24,45,47,5,72,373248
8031,39,57,2,96,2,60,23,0,71,55,38,44,19,49,87,92,4,64
48962,96,67,4,78,49,52,67,0,88,22,44,22,70,46,37,65,63,250047
7369,56,0,4,15,11,10,89,0,58,85,34,67,1,55,73,19,9,729
49979,26,9,5,45,30,57,39,0,82,72,88,47,67,35,69,93,3,27
4049,18,38,5,20,69,46,73,0,39,21,27,74,9,93,71,5,95,857375
47014,84,18,6,48,41,25,38,0,96,72,69,91,94,12,46,16,12,1728
4443,24,3,6,8,58,21,30,0,85,66,88,10,64,66,32,96,36,46656
1840,78,98,8,84,20,34,76,0,27,2,1,76,26,8,29,41,19,6859
47453,40,94,9,26,89,93,63,0,72,87,11,7,16,47,63,45,60,216000
7411,73,61,9,77,96,13,92,0,78,71,75,13,56,8,88,75,0,0
41515,81,89,10,6,76,31,93,0,29,84,95,43,23,68,38,18,75,421875
43983,32,16,13,64,56,54,98,0,25,1,38,35,12,41,56,8,86,636056
8948,37,95,15,55,99,40,72,0,40,12,90,52,11,13,29,71,46,97336
9657,15,22,17,47,57,1,0,0,67,51,42,29,97,96,18,24,26,17576
49700,60,50,17,8,42,72,13,0,74,49,79,33,36,99,65,70,23,12167
320772,25,34,17,33,46,51,12,0,92,35,18,98,40,79,69,17,60,43
5904,93,29,18,64,10,98,68,0,94,18,71,64,70,56,64,68,83,571787
9267,6,56,18,55,23,72,47,0,18,10,88,15,93,96,34,10,81,531441
2580,48,71,21,36,46,83,14,0,10,94,98,42,88,68,43,65,23,12167
2840,26,9,25,26,7,15,29,0,10,97,42,79,48,94,64,98,81,531441
320043,75,21,27,0,4,44,34,0,73,33,83,90,83,97,37,94,45,68
1746,81,59,28,29,65,55,47,0,26,94,92,83,36,57,12,61,75,421875
51250,83,1,28,72,5,93,66,0,29,4,63,42,64,99,36,66,99,970299
47624,84,86,32,56,59,10,25,0,84,32,66,41,55,99,6,64,1,1
8509,14,28,34,87,31,60,53,0,20,7,46,61,56,2,79,95,15,3375
222,98,71,34,45,20,88,69,0,4,2,74,87,4,53,51,87,99,970299
47965,22,89,34,96,61,59,89,0,3,5,66,96,71,37,54,45,78,474552
8103,53,47,35,14,63,35,6,0,57,39,70,11,66,13,6,68,31,29791
54306,54,77,35,48,29,61,32,0,85,75,12,36,32,68,16,47,12,1728
47694,96,95,38,1,41,76,0,0,21,4,63,66,23,33,98,38,69,328509
52303,51,13,39,0,83,25,27,0,12,17,61,29,97,61,30,21,87,658503
7530,5,95,40,90,85,12,32,0,2,95,26,46,90,70,14,87,60,216000
44267,18,36,40,70,85,53,96,0,36,43,59,37,37,55,75,72,2,8
51220,11,49,41,12,53,52,58,0,31,44,8,18,73,43,26,75,33,35937
50159,47,59,41,22,20,52,47,0,38,83,54,79,87,48,19,28,62,238328
51967,5,25,43,64,34,19,61,0,54,77,92,89,20,53,31,72,27,19683
43266,26,21,43,62,75,11,39,0,44,2,6,13,82,18,71,54,67,300763
2903,47,81,45,24,30,18,54,0,29,17,53,76,56,55,56,7,71,357911
44973,82,94,45,33,64,74,98,0,51,93,26,6,52,35,17,28,13,2197
47846,5,5,45,97,91,17,41,0,20,98,63,87,10,93,59,72,8,512
54697,65,60,46,17,0,47,48,0,56,40,1,35,94,48,45,71,3,27
53841,90,76,48,84,59,19,23,0,68,80,11,86,21,83,96,94,25,15625
320330,7,78,48,77,44,5,54,0,98,93,37,68,69,40,41,35,7,98
